,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
93,"Loco Contigo (feat. J. Balvin & Tyga)","DJ Snake",948068,https://open.spotify.com/track/6osaMSJh9NguagEDQcZaKx
94,"Lover (Remix) [feat. Shawn Mendes]","Taylor Swift",943972,https://open.spotify.com/track/3i9UVldZOE0aD0JnyfAZZ0
95,Tutu,Camilo,937774,https://open.spotify.com/track/1nocRtwyNPVtGcIJqfgdzZ
96,"7 rings","Ariana Grande",934258,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
97,"223's (feat. 9lokknine)","YNW Melly",919701,https://open.spotify.com/track/4sjiIpEv617LDXaidKioOI
98,"Der Bratan bleibt der gleiche","Capital Bra",912757,https://open.spotify.com/track/2M39v73rNJmAXUXIW0oagP
99,Graveyard,Halsey,908079,https://open.spotify.com/track/6V9fHiv84WlVTg7CSnIVY2
100,Happier,Marshmello,907394,https://open.spotify.com/track/2dpaYNEQHiRxtZbfNsse99
101,"Christmas (Baby Please Come Home)","Mariah Carey",901647,https://open.spotify.com/track/3PIDciSFdrQxSQSihim3hN
102,"Truth Hurts",Lizzo,890318,https://open.spotify.com/track/5qmq61DAAOUaW8AUo8xKhh
103,"Money In The Grave (Drake ft. Rick Ross)",Drake,889207,https://open.spotify.com/track/5ry2OE6R2zPQFDO85XkgRb
104,"Blue Christmas","Elvis Presley",886501,https://open.spotify.com/track/3QiAAp20rPC3dcAtKtMaqQ
105,"Bohemian Rhapsody - Remastered 2011",Queen,880565,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
106,"Soltera - Remix",Lunay,871949,https://open.spotify.com/track/4t9a07PAghtQMRAIP9FQ7Z
107,"My Only Wish (This Year)","Britney Spears",867243,https://open.spotify.com/track/6id0KJ3XgvJLSzyMtHBj67
108,Woah,"Lil Baby",856110,https://open.spotify.com/track/598yNsG1JFrGd4n2kMoz7F
109,"Follow God","Kanye West",848751,https://open.spotify.com/track/2QpGZOhTCHHiKmpSO9FW4h
110,Believer,"Imagine Dragons",841335,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
111,"Hot (Remix) [feat. Gunna and Travis Scott]","Young Thug",839856,https://open.spotify.com/track/56AMYGJzxBO6p8v0wEe9de
112,Fantasía,Ozuna,834182,https://open.spotify.com/track/40rXWke6SnXiGkSmaT8ZUr
113,Panini,"Lil Nas X",830039,https://open.spotify.com/track/1000nHvUdawXuUHgBod4Wv
114,"No Guidance (feat. Drake)","Chris Brown",826704,https://open.spotify.com/track/6XHVuErjQ4XNm6nDPVCxVX
115,"Hate Me (with Juice WRLD)","Ellie Goulding",818400,https://open.spotify.com/track/6kls8cSlUyHW2BUOkDJIZE
116,"DJ No Pare (feat. Zion, Dalex, Lenny Tavárez) - Remix","Justin Quiles",817566,https://open.spotify.com/track/1ndyl3wJCFs872XZ3ztPk6
117,"Without Me",Halsey,814345,https://open.spotify.com/track/5p7ujcrUXASCNwRaWNHR1C
118,Candy,"Doja Cat",809370,https://open.spotify.com/track/1VJwtWR6z7SpZRwipI12be
119,"Stuck In A Dream (feat. Gunna)","Lil Mosey",796947,https://open.spotify.com/track/7iHHxY2NLlJRAmlAmC4ahQ
120,"Otro Trago - Remix",Sech,796073,https://open.spotify.com/track/4bTZeO72FwMa6wKOiqoynL
121,"Shape of You","Ed Sheeran",794381,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
122,"Piece Of Your Heart",MEDUZA,794129,https://open.spotify.com/track/1DFD5Fotzgn6yYXkYsKiGs
123,Camelot,"NLE Choppa",791936,https://open.spotify.com/track/4sWuPniHClkInYAnzXAYUF
124,"Step Into Christmas","Elton John",789309,https://open.spotify.com/track/6sBWmE23q6xQHlnEZ8jYPT
125,"rockstar (feat. 21 Savage)","Post Malone",781043,https://open.spotify.com/track/0e7ipj03S05BNilyu5bRzt
