,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
185,"Christmas Lights",Coldplay,771721,https://open.spotify.com/track/4fzyvSu73BhGvi96p2zwjL
186,"Christmas (Baby Please Come Home)","Darlene Love",763580,https://open.spotify.com/track/2DomOAEa6ghF8BzOES61tK
187,"Toosie Slide",Drake,756381,https://open.spotify.com/track/466cKvZn1j45IpxDdYZqdA
188,"ily (i love you baby) (feat. Emilee)","Surf Mesa",754983,https://open.spotify.com/track/62aP9fBQKYKxi7PDXwcUAS
189,"Dime Cómo Quieres","Christian Nodal",754754,https://open.spotify.com/track/4jcxBTrNvyqMJdMDyyjdYV
190,SAD!,XXXTENTACION,752726,https://open.spotify.com/track/3ee8Jmje8o58CHK66QrVC2
191,"Martin & Gina","Polo G",752266,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
192,Safaera,"Bad Bunny",750732,https://open.spotify.com/track/2DEZmgHKAvm41k4J3R2E9Y
193,"Bohemian Rhapsody - Remastered 2011",Queen,747155,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
194,"7 rings","Ariana Grande",741437,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
195,"Electric Love",BØRNS,739241,https://open.spotify.com/track/2GiJYvgVaD2HtM8GqD9EgQ
196,"Intentions (feat. Quavo)","Justin Bieber",738105,https://open.spotify.com/track/4umIPjkehX1r7uhmGvXiSV
197,"Investe Em Mim","Jonas Esticado",734419,https://open.spotify.com/track/15k1TDabqSEmyXOwMq9RM7
198,"At My Worst","Pink Sweat$",728887,https://open.spotify.com/track/0ri0Han4IRJhzvERHOZTMr
199,"Go Crazy","Chris Brown",728127,https://open.spotify.com/track/1IIKrJVP1C9N7iPtG6eOsK
200,"CÓMO SE SIENTE - Remix","Jhay Cortez",725289,https://open.spotify.com/track/2tFwfmceQa1Y6nRPhYbEtC
